Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,6048.33,72579.96,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,37.35,448.2,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1801.04,21612.48,USD,,"Data transfer out to internet (20 TB per month), Data transfer out to origin (3 TB per month), Number of requests (HTTPS) (50 million per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,525.42,6305.04,USD,,"S3 Standard storage (20 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000000), GET, SELECT, and all other requests from S3 Standard (2000000), Data returned by S3 Select (5 TB per month), Data scanned by S3 Select (0 GB per month)"
My Estimate,US East (N. Virginia),,S3 Standard - Infrequent Access,0,279.29,3351.48,USD,,"S3 Standard-IA storage (20 TB per month), PUT, COPY, POST, LIST requests to S3 Standard-IA (500000), GET, SELECT, and all other requests from S3 Standard-IA (50000), Lifecycle Transition requests (500000), Data retrievals (1 TB per month), Data returned by S3 Select (300 GB per month), Data scanned by S3 Select (0 GB per month)"
My Estimate,US East (N. Virginia),,S3 Glacier Flexible Retrieval,0,74.1,889.2,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0), S3 Glacier Flexible Retrieval storage (20 TB per month)"
My Estimate,US East (N. Virginia),Application servers in Private subnets,Amazon EC2 ,0,645.4079999999999,7744.9,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (c7g.2xlarge), Pricing strategy (Standard Reserved Instances 3yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (16 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),RDS,Amazon RDS for MySQL,0,1195.94,14351.28,USD,,"Storage amount (1 TB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (100 GB), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,852.0500000000001,10224.6,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web servers on public subnets,Amazon EC2 ,0,637.728,7652.74,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (c7g.2xlarge), Pricing strategy (Standard Reserved Instances 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
Rationale,,,,,,,,,
"To reduce price, I change EC2 On-Demand to Standard Reserved Instances with 3 years, this keeps the performance of the system being remained",,,,,,,,,
